Server,igroup,SVM,aggr,volume,vol-size,max,mode,autodelete,lun,ID,lun-size,Space Guarantee,OS,reserve,snap policy
adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,prod_n1,adc_epic_prod_db_1,36864,49152,grow,true,adc_epic_prod_db_1,1,6144,none,aix,disabled,none
adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_1,,,grow,true,adc_epic_prod_db_2,2,6144,none,aix,disabled,none
adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_1,,,grow,true,adc_epic_prod_db_3,3,6144,none,aix,disabled,none
adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_1,,,grow,true,adc_epic_prod_db_4,4,6144,none,aix,disabled,none
